,arrest,domestic,beat,district,ward,community_area,year,latitude,longitude,day_of_week,month,time,zone
0,0,1,924,9.0,12.0,61.0,2015,41.815117281999996,-87.669999562,Saturday,September,13,South
1,0,0,1511,15.0,29.0,25.0,2015,41.895080471,-87.765400451,Friday,September,11,North
2,1,0,1412,14.0,35.0,21.0,2015,41.937405765,-87.71664968700001,Saturday,September,12,West
3,0,1,1522,15.0,28.0,25.0,2015,41.881903443,-87.755121152,Saturday,September,13,North
4,0,0,614,6.0,21.0,71.0,2015,41.744378879,-87.658430635,Saturday,September,10,South
5,0,0,1434,14.0,32.0,24.0,2015,41.914635603,-87.68163090899999,Friday,September,18,West
6,1,0,1034,10.0,25.0,31.0,2015,41.851988885,-87.689219118,Saturday,September,13,West
7,0,1,1222,12.0,27.0,27.0,2015,41.88281374,-87.704325717,Saturday,September,11,West
8,0,0,833,8.0,13.0,65.0,2015,41.763647551999995,-87.722344693,Saturday,September,14,South
9,0,0,1623,16.0,45.0,11.0,2015,41.975968415,-87.768014257,Saturday,September,11,North
10,0,1,512,5.0,34.0,49.0,2015,41.707154919000004,-87.62424499299999,Saturday,September,3,West
11,0,1,222,2.0,4.0,39.0,2015,41.809678314,-87.593638934,Saturday,September,12,East
12,0,0,1424,14.0,1.0,24.0,2015,41.907127255,-87.67823201600001,Thursday,September,13,West
13,0,0,612,6.0,21.0,71.0,2015,41.748097343000005,-87.662166183,Saturday,September,11,South
14,0,0,1531,15.0,28.0,25.0,2015,41.893869916,-87.754341096,Saturday,September,13,North
15,0,0,434,4.0,10.0,51.0,2015,41.707490121999996,-87.559650325,Wednesday,July,0,South
16,1,0,2221,22.0,21.0,71.0,2015,41.733173536,-87.66542106700001,Saturday,September,9,South
17,0,1,1633,16.0,38.0,15.0,2015,41.949429769,-87.77543552899999,Saturday,September,12,West
18,0,0,432,4.0,10.0,52.0,2015,41.713031786,-87.536487809,Friday,September,22,South
19,0,0,1623,16.0,45.0,12.0,2015,41.972552295,-87.75107692600001,Wednesday,September,0,West
20,0,0,432,4.0,10.0,52.0,2015,41.713031786,-87.536487809,Friday,September,15,South
21,0,0,331,3.0,5.0,43.0,2015,41.766247596999996,-87.57599706200001,Saturday,September,13,East
22,0,0,432,4.0,10.0,52.0,2015,41.713127829,-87.53648662299999,Thursday,September,21,South
23,0,1,421,4.0,7.0,43.0,2015,41.756330319,-87.55271620399999,Saturday,September,8,South
24,0,1,421,4.0,7.0,43.0,2015,41.758420222,-87.565152335,Saturday,September,6,South
